2023-05-10 14:23:27,421 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:dsm-energy-efficiency-eapi'
2023-05-10 14:23:27,624 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:dsm-energy-efficiency-sapi'
2023-05-10 14:23:27,848 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:dsm-gf-datasync-sapi'
2023-05-10 14:23:28,058 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:dsm-measures-sapi'
2023-05-10 14:23:28,277 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:dsm-sbsmarketing-sapi'
2023-05-10 14:23:28,491 | sonar-tools | INFO    | MainThread      | Getting measures for project 'duwp_myaccount_react'
2023-05-10 14:23:28,696 | sonar-tools | INFO    | MainThread      | Getting measures for project 'EDM_Data_Pipeline'
2023-05-10 14:23:28,912 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:eirs-incident-outage-sapi'
2023-05-10 14:23:29,112 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:electric-omw-proxy'
2023-05-10 14:23:29,324 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:electric-outage-api'
2023-05-10 14:23:29,544 | sonar-tools | INFO    | MainThread      | Getting measures for project '6d006d9e-f49c-4289-997d-55365c7a6185:electric-outage-api'
2023-05-10 14:23:29,746 | sonar-tools | INFO    | MainThread      | Getting measures for project '6d006d9e-f49c-4289-997d-55365c7a6185:electric-outages-api'
2023-05-10 14:23:29,984 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:electric-outages-papi'
2023-05-10 14:23:30,198 | sonar-tools | INFO    | MainThread      | Getting measures for project '6d006d9e-f49c-4289-997d-55365c7a6185:electric-outages-papi'
2023-05-10 14:23:30,415 | sonar-tools | INFO    | MainThread      | Getting measures for project '6d006d9e-f49c-4289-997d-55365c7a6185:electric-outage-papi'
2023-05-10 14:23:30,598 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:email-notifications-sapi'
2023-05-10 14:23:30,798 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:employee-feed-sapi'
2023-05-10 14:23:31,024 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:employee-feed-sapi'
2023-05-10 14:23:31,232 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:employees-papi'
2023-05-10 14:23:31,425 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:epm-portfolio-sapi'
